algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb,maquina
naive,1024,densa,D0,a,995.703640,3760,fcarrasco
strassen,1024,densa,D0,a,129737.475004,50372,fcarrasco
naive,1024,densa,D0,b,997.494659,3916,fcarrasco
strassen,1024,densa,D0,b,133185.867468,50048,fcarrasco
naive,1024,densa,D0,c,1004.648592,3604,fcarrasco
strassen,1024,densa,D0,c,127999.497579,50020,fcarrasco
naive,1024,densa,D10,a,991.622824,3928,fcarrasco
strassen,1024,densa,D10,a,130205.968077,49884,fcarrasco
naive,1024,densa,D10,b,999.125254,3768,fcarrasco
strassen,1024,densa,D10,b,130522.048339,49824,fcarrasco
naive,1024,densa,D10,c,992.807417,3852,fcarrasco
strassen,1024,densa,D10,c,128426.094803,49816,fcarrasco
naive,1024,diagonal,D0,a,979.343986,4096,fcarrasco
strassen,1024,diagonal,D0,a,127200.409797,50016,fcarrasco
naive,1024,diagonal,D0,b,985.915076,3772,fcarrasco
strassen,1024,diagonal,D0,b,127577.453502,50008,fcarrasco
naive,1024,diagonal,D0,c,991.910419,3904,fcarrasco
strassen,1024,diagonal,D0,c,128878.246442,50144,fcarrasco
naive,1024,diagonal,D10,a,992.861968,4048,fcarrasco
strassen,1024,diagonal,D10,a,128373.461355,50032,fcarrasco
naive,1024,diagonal,D10,b,988.532586,3868,fcarrasco
strassen,1024,diagonal,D10,b,131686.333078,50140,fcarrasco
naive,1024,diagonal,D10,c,987.838353,4096,fcarrasco
strassen,1024,diagonal,D10,c,131203.264396,50056,fcarrasco
naive,1024,dispersa,D0,a,987.857914,3880,fcarrasco
strassen,1024,dispersa,D0,a,128535.410216,49920,fcarrasco
naive,1024,dispersa,D0,b,995.410127,3748,fcarrasco
strassen,1024,dispersa,D0,b,129659.053915,49876,fcarrasco
naive,1024,dispersa,D0,c,983.229615,3912,fcarrasco
strassen,1024,dispersa,D0,c,128095.330474,49692,fcarrasco
naive,1024,dispersa,D10,a,990.913988,4032,fcarrasco
strassen,1024,dispersa,D10,a,128416.512339,49976,fcarrasco
naive,1024,dispersa,D10,b,986.158712,3896,fcarrasco
strassen,1024,dispersa,D10,b,130392.368613,49804,fcarrasco
naive,1024,dispersa,D10,c,980.141002,4024,fcarrasco
strassen,1024,dispersa,D10,c,130968.406055,49852,fcarrasco
naive,16,densa,D0,a,0.003811,0,fcarrasco
strassen,16,densa,D0,a,1.075408,0,fcarrasco
naive,16,densa,D0,b,0.003766,0,fcarrasco
strassen,16,densa,D0,b,1.072101,0,fcarrasco
naive,16,densa,D0,c,0.003805,0,fcarrasco
strassen,16,densa,D0,c,1.101884,0,fcarrasco
naive,16,densa,D10,a,0.003778,0,fcarrasco
strassen,16,densa,D10,a,1.137915,0,fcarrasco
naive,16,densa,D10,b,0.003758,0,fcarrasco
strassen,16,densa,D10,b,1.101137,0,fcarrasco
naive,16,densa,D10,c,0.003776,0,fcarrasco
strassen,16,densa,D10,c,1.106098,0,fcarrasco
naive,16,diagonal,D0,a,0.003748,0,fcarrasco
strassen,16,diagonal,D0,a,1.067913,0,fcarrasco
naive,16,diagonal,D0,b,0.003814,0,fcarrasco
strassen,16,diagonal,D0,b,1.094062,0,fcarrasco
naive,16,diagonal,D0,c,0.003801,0,fcarrasco
strassen,16,diagonal,D0,c,1.072284,0,fcarrasco
naive,16,diagonal,D10,a,0.003881,0,fcarrasco
strassen,16,diagonal,D10,a,1.066386,0,fcarrasco
naive,16,diagonal,D10,b,0.003770,0,fcarrasco
strassen,16,diagonal,D10,b,1.063248,0,fcarrasco
naive,16,diagonal,D10,c,0.003781,0,fcarrasco
strassen,16,diagonal,D10,c,1.056703,0,fcarrasco
naive,16,dispersa,D0,a,0.003785,0,fcarrasco
strassen,16,dispersa,D0,a,1.078862,0,fcarrasco
naive,16,dispersa,D0,b,0.003803,0,fcarrasco
strassen,16,dispersa,D0,b,1.102745,0,fcarrasco
naive,16,dispersa,D0,c,0.003825,0,fcarrasco
strassen,16,dispersa,D0,c,1.074911,0,fcarrasco
naive,16,dispersa,D10,a,0.003755,0,fcarrasco
strassen,16,dispersa,D10,a,1.069452,0,fcarrasco
naive,16,dispersa,D10,b,0.003756,0,fcarrasco
strassen,16,dispersa,D10,b,1.063794,0,fcarrasco
naive,16,dispersa,D10,c,0.003781,0,fcarrasco
strassen,16,dispersa,D10,c,1.102604,0,fcarrasco
naive,256,densa,D0,a,10.005288,0,fcarrasco
strassen,256,densa,D0,a,2697.467881,0,fcarrasco
naive,256,densa,D0,b,9.863752,0,fcarrasco
strassen,256,densa,D0,b,2663.339327,0,fcarrasco
naive,256,densa,D0,c,9.878508,0,fcarrasco
strassen,256,densa,D0,c,2567.215979,0,fcarrasco
naive,256,densa,D10,a,9.912551,0,fcarrasco
strassen,256,densa,D10,a,2569.141025,0,fcarrasco
naive,256,densa,D10,b,10.080102,0,fcarrasco
strassen,256,densa,D10,b,2570.884622,0,fcarrasco
naive,256,densa,D10,c,9.903278,0,fcarrasco
strassen,256,densa,D10,c,2603.401390,0,fcarrasco
naive,256,diagonal,D0,a,9.971391,0,fcarrasco
strassen,256,diagonal,D0,a,2640.112484,0,fcarrasco
naive,256,diagonal,D0,b,9.989383,0,fcarrasco
strassen,256,diagonal,D0,b,2582.113672,0,fcarrasco
naive,256,diagonal,D0,c,9.897711,0,fcarrasco
strassen,256,diagonal,D0,c,2612.190252,0,fcarrasco
naive,256,diagonal,D10,a,9.884917,0,fcarrasco
strassen,256,diagonal,D10,a,2709.676500,0,fcarrasco
naive,256,diagonal,D10,b,9.902843,0,fcarrasco
strassen,256,diagonal,D10,b,2672.388460,0,fcarrasco
naive,256,diagonal,D10,c,10.015108,0,fcarrasco
strassen,256,diagonal,D10,c,2552.308879,0,fcarrasco
naive,256,dispersa,D0,a,9.921381,0,fcarrasco
strassen,256,dispersa,D0,a,2616.113969,0,fcarrasco
naive,256,dispersa,D0,b,9.924966,0,fcarrasco
strassen,256,dispersa,D0,b,2562.256333,0,fcarrasco
naive,256,dispersa,D0,c,9.915218,0,fcarrasco
strassen,256,dispersa,D0,c,2565.981121,0,fcarrasco
naive,256,dispersa,D10,a,9.836125,0,fcarrasco
strassen,256,dispersa,D10,a,2677.015835,0,fcarrasco
naive,256,dispersa,D10,b,9.884215,0,fcarrasco
strassen,256,dispersa,D10,b,2582.212067,0,fcarrasco
naive,256,dispersa,D10,c,9.922758,0,fcarrasco
strassen,256,dispersa,D10,c,2583.836654,0,fcarrasco
naive,64,densa,D0,a,0.135209,0,fcarrasco
strassen,64,densa,D0,a,52.195889,0,fcarrasco
naive,64,densa,D0,b,0.136833,0,fcarrasco
strassen,64,densa,D0,b,55.204552,0,fcarrasco
naive,64,densa,D0,c,0.135075,0,fcarrasco
strassen,64,densa,D0,c,52.645004,0,fcarrasco
naive,64,densa,D10,a,0.135373,0,fcarrasco
strassen,64,densa,D10,a,54.167459,0,fcarrasco
naive,64,densa,D10,b,0.134775,0,fcarrasco
strassen,64,densa,D10,b,52.751041,0,fcarrasco
naive,64,densa,D10,c,0.135583,0,fcarrasco
strassen,64,densa,D10,c,54.989598,0,fcarrasco
naive,64,diagonal,D0,a,0.135485,0,fcarrasco
strassen,64,diagonal,D0,a,54.578406,0,fcarrasco
naive,64,diagonal,D0,b,0.135660,0,fcarrasco
strassen,64,diagonal,D0,b,55.003374,0,fcarrasco
naive,64,diagonal,D0,c,0.135689,0,fcarrasco
strassen,64,diagonal,D0,c,53.752008,0,fcarrasco
naive,64,diagonal,D10,a,0.134696,0,fcarrasco
strassen,64,diagonal,D10,a,52.345716,0,fcarrasco
naive,64,diagonal,D10,b,0.135494,0,fcarrasco
strassen,64,diagonal,D10,b,52.450792,0,fcarrasco
naive,64,diagonal,D10,c,0.135348,0,fcarrasco
strassen,64,diagonal,D10,c,52.622882,0,fcarrasco
naive,64,dispersa,D0,a,0.136583,0,fcarrasco
strassen,64,dispersa,D0,a,52.385107,0,fcarrasco
naive,64,dispersa,D0,b,0.136161,0,fcarrasco
strassen,64,dispersa,D0,b,55.421898,0,fcarrasco
