algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb,maquina
mergesort,10000000,aleatorio,D1,a,629.028642,39092,fcarrasco
quicksort,10000000,aleatorio,D1,a,NA,NA,fcarrasco
patiencesort,10000000,aleatorio,D1,a,490.409568,47360,fcarrasco
stdsort,10000000,aleatorio,D1,a,174.651081,0,fcarrasco
mergesort,10000000,aleatorio,D1,b,635.718571,38912,fcarrasco
quicksort,10000000,aleatorio,D1,b,NA,NA,fcarrasco
patiencesort,10000000,aleatorio,D1,b,491.727434,45824,fcarrasco
stdsort,10000000,aleatorio,D1,b,171.498355,0,fcarrasco
mergesort,10000000,aleatorio,D1,c,643.770223,38912,fcarrasco
quicksort,10000000,aleatorio,D1,c,NA,NA,fcarrasco
patiencesort,10000000,aleatorio,D1,c,479.301774,48384,fcarrasco
stdsort,10000000,aleatorio,D1,c,169.786985,0,fcarrasco
mergesort,10000000,aleatorio,D7,a,1119.189535,38912,fcarrasco
quicksort,10000000,aleatorio,D7,a,726.363047,0,fcarrasco
patiencesort,10000000,aleatorio,D7,a,2305.290230,58240,fcarrasco
stdsort,10000000,aleatorio,D7,a,569.895126,0,fcarrasco
mergesort,10000000,aleatorio,D7,b,1118.240271,38912,fcarrasco
quicksort,10000000,aleatorio,D7,b,724.383203,0,fcarrasco
patiencesort,10000000,aleatorio,D7,b,2313.911308,58368,fcarrasco
stdsort,10000000,aleatorio,D7,b,562.015787,0,fcarrasco
mergesort,10000000,aleatorio,D7,c,1136.226930,38912,fcarrasco
quicksort,10000000,aleatorio,D7,c,716.328322,0,fcarrasco
patiencesort,10000000,aleatorio,D7,c,2292.691764,58112,fcarrasco
stdsort,10000000,aleatorio,D7,c,595.324755,180,fcarrasco
mergesort,10000000,ascendente,D1,a,452.462080,38912,fcarrasco
quicksort,10000000,ascendente,D1,a,NA,NA,fcarrasco
patiencesort,10000000,ascendente,D1,a,336.992014,43008,fcarrasco
stdsort,10000000,ascendente,D1,a,76.737776,0,fcarrasco
mergesort,10000000,ascendente,D1,b,450.089523,38912,fcarrasco
quicksort,10000000,ascendente,D1,b,NA,NA,fcarrasco
patiencesort,10000000,ascendente,D1,b,327.470487,43008,fcarrasco
stdsort,10000000,ascendente,D1,b,76.829151,0,fcarrasco
mergesort,10000000,ascendente,D1,c,450.296126,38912,fcarrasco
quicksort,10000000,ascendente,D1,c,NA,NA,fcarrasco
patiencesort,10000000,ascendente,D1,c,328.211423,43136,fcarrasco
stdsort,10000000,ascendente,D1,c,77.190140,0,fcarrasco
mergesort,10000000,ascendente,D7,a,455.659487,38912,fcarrasco
quicksort,10000000,ascendente,D7,a,267.136682,0,fcarrasco
patiencesort,10000000,ascendente,D7,a,2294.376126,346012,fcarrasco
stdsort,10000000,ascendente,D7,a,99.264373,0,fcarrasco
mergesort,10000000,ascendente,D7,b,453.811394,39092,fcarrasco
quicksort,10000000,ascendente,D7,b,265.064645,0,fcarrasco
patiencesort,10000000,ascendente,D7,b,2319.717669,346148,fcarrasco
stdsort,10000000,ascendente,D7,b,99.419894,0,fcarrasco
mergesort,10000000,ascendente,D7,c,452.635241,38912,fcarrasco
quicksort,10000000,ascendente,D7,c,266.699110,0,fcarrasco
patiencesort,10000000,ascendente,D7,c,2426.444542,345896,fcarrasco
stdsort,10000000,ascendente,D7,c,103.357592,0,fcarrasco
mergesort,10000000,descendente,D1,a,470.338715,38912,fcarrasco
quicksort,10000000,descendente,D1,a,NA,NA,fcarrasco
patiencesort,10000000,descendente,D1,a,258.897383,65584,fcarrasco
stdsort,10000000,descendente,D1,a,78.555710,0,fcarrasco
mergesort,10000000,descendente,D1,b,463.463879,38912,fcarrasco
quicksort,10000000,descendente,D1,b,NA,NA,fcarrasco
patiencesort,10000000,descendente,D1,b,256.096253,65584,fcarrasco
stdsort,10000000,descendente,D1,b,78.400231,0,fcarrasco
mergesort,10000000,descendente,D1,c,462.966985,39092,fcarrasco
quicksort,10000000,descendente,D1,c,NA,NA,fcarrasco
patiencesort,10000000,descendente,D1,c,256.712907,65584,fcarrasco
stdsort,10000000,descendente,D1,c,78.473228,180,fcarrasco
mergesort,10000000,descendente,D7,a,479.953344,38912,fcarrasco
quicksort,10000000,descendente,D7,a,292.043519,0,fcarrasco
patiencesort,10000000,descendente,D7,a,255.848902,65764,fcarrasco
stdsort,10000000,descendente,D7,a,88.672984,0,fcarrasco
mergesort,10000000,descendente,D7,b,478.324859,38912,fcarrasco
quicksort,10000000,descendente,D7,b,287.752181,0,fcarrasco
patiencesort,10000000,descendente,D7,b,257.126240,65584,fcarrasco
stdsort,10000000,descendente,D7,b,90.333585,0,fcarrasco
mergesort,10000000,descendente,D7,c,478.015961,38912,fcarrasco
quicksort,10000000,descendente,D7,c,290.967903,0,fcarrasco
patiencesort,10000000,descendente,D7,c,255.600765,65584,fcarrasco
stdsort,10000000,descendente,D7,c,89.761608,0,fcarrasco
mergesort,100000,aleatorio,D1,a,5.821837,0,fcarrasco
quicksort,100000,aleatorio,D1,a,236.079423,0,fcarrasco
patiencesort,100000,aleatorio,D1,a,5.064725,0,fcarrasco
stdsort,100000,aleatorio,D1,a,1.495484,0,fcarrasco
mergesort,100000,aleatorio,D1,b,5.932416,0,fcarrasco
quicksort,100000,aleatorio,D1,b,234.408256,0,fcarrasco
patiencesort,100000,aleatorio,D1,b,4.932504,0,fcarrasco
stdsort,100000,aleatorio,D1,b,1.586495,0,fcarrasco
mergesort,100000,aleatorio,D1,c,5.670192,0,fcarrasco
quicksort,100000,aleatorio,D1,c,234.980539,0,fcarrasco
patiencesort,100000,aleatorio,D1,c,4.901820,0,fcarrasco
stdsort,100000,aleatorio,D1,c,1.489334,0,fcarrasco
mergesort,100000,aleatorio,D7,a,8.749751,0,fcarrasco
quicksort,100000,aleatorio,D7,a,5.458345,0,fcarrasco
patiencesort,100000,aleatorio,D7,a,12.137823,0,fcarrasco
stdsort,100000,aleatorio,D7,a,4.175472,0,fcarrasco
mergesort,100000,aleatorio,D7,b,8.776567,0,fcarrasco
quicksort,100000,aleatorio,D7,b,5.520868,0,fcarrasco
patiencesort,100000,aleatorio,D7,b,12.111205,0,fcarrasco
stdsort,100000,aleatorio,D7,b,4.157967,0,fcarrasco
mergesort,100000,aleatorio,D7,c,8.723457,0,fcarrasco
quicksort,100000,aleatorio,D7,c,5.349706,0,fcarrasco
patiencesort,100000,aleatorio,D7,c,12.022629,0,fcarrasco
stdsort,100000,aleatorio,D7,c,4.215887,0,fcarrasco
mergesort,100000,ascendente,D1,a,3.901367,0,fcarrasco
quicksort,100000,ascendente,D1,a,234.152363,0,fcarrasco
patiencesort,100000,ascendente,D1,a,3.386900,0,fcarrasco
stdsort,100000,ascendente,D1,a,0.560286,0,fcarrasco
mergesort,100000,ascendente,D1,b,4.030847,0,fcarrasco
quicksort,100000,ascendente,D1,b,233.939138,0,fcarrasco
patiencesort,100000,ascendente,D1,b,3.333147,0,fcarrasco
stdsort,100000,ascendente,D1,b,0.564805,0,fcarrasco
mergesort,100000,ascendente,D1,c,3.925252,0,fcarrasco
quicksort,100000,ascendente,D1,c,234.706489,0,fcarrasco
patiencesort,100000,ascendente,D1,c,3.345333,0,fcarrasco
stdsort,100000,ascendente,D1,c,0.562805,0,fcarrasco
mergesort,100000,ascendente,D7,a,3.929849,0,fcarrasco
quicksort,100000,ascendente,D7,a,2.200001,0,fcarrasco
patiencesort,100000,ascendente,D7,a,13.655982,0,fcarrasco
stdsort,100000,ascendente,D7,a,0.613114,0,fcarrasco
mergesort,100000,ascendente,D7,b,3.899020,0,fcarrasco
quicksort,100000,ascendente,D7,b,2.197659,0,fcarrasco
